"","house_name","name","house_style","house_size","house_direction","house_decorate","house_lift","house_address","house_totalprice","house_unitprice"
"37","蓝旗新村 ","蓝旗新村","2室1厅","51.49平米","南北","简装","无电梯","大光路","132万","25637"
"38","墨香山庄 ","墨香山庄","3室1厅","109.88平米","南北","精装","有电梯","月苑","340万","30943"
"39","瀛洲湾 ","瀛洲湾","3室2厅","103.42平米","南北","精装","无电梯","岔路口","235万","22723"
"40","水竹苑 ","水竹苑","4室2厅","154.71平米","南","精装","有电梯","百家湖","452万","29216"
"41","天地新城天心座 ","天地新城天心座","3室2厅","112.5平米","南北","简装","无电梯","岔路口","249万","22134"
"42","天坛新寓 ","天坛新寓","1室1厅","50.17平米","南","简装","有电梯","光华路","130万","25912"
"43","砂珠巷小区 ","砂珠巷小区","2室1厅","71.26平米","东南","简装","有电梯","升州路","225万","31575"
"44","湖滨公寓 ","湖滨公寓","3室2厅","86.9平米","南西北","精装","无电梯","百家湖","265万","30495"
"45","场门口小区14号 ","场门口小区14号","2室0厅","50平米","南","简装","无电梯","龙江","275万","55000"
"46","新百花园 ","新百花园","3室2厅","125.19平米","南北","精装","有电梯","应天西路","380万","30354"
"47","钟鼎雅居 ","钟鼎雅居","2室2厅","81.74平米","南北","精装","有电梯","奥体","345万","42207"
"48","翠屏湾花园城 ","翠屏湾花园城","3室2厅","69.38平米","南","精装","有电梯","将军大道","169万","24359"
"49","海都嘉园 ","海都嘉园","2室2厅","79.97平米","南北","精装","无电梯","江浦街道","215万","26886"
"50","石头城 ","石头城","2室1厅","58.33平米","南北","精装","无电梯","龙江","168万","28802"
"51","天泰青城苑 ","天泰青城苑","2室1厅","71.2平米","南","其他","有电梯","将军大道","225万","31602"
"52","天润城第十街区 ","天润城第十街区","3室2厅","90.78平米","南北","精装","有电梯","桥北","228万","25116"
"53","腾达雅苑 ","腾达雅苑","2室2厅","88.08平米","南北","精装","无电梯","应天西路","330万","37466"
"54","东宝花园 ","东宝花园","4室2厅","130平米","南","简装","无电梯","凤凰西街","699万","53770"
"55","绿国万象都荟 ","绿国万象都荟","2室0厅","45.2平米","西","精装","有电梯","洪家园","122万","26992"
"56","左邻右里 ","左邻右里","3室1厅","91平米","南","精装","无电梯","岔路口","291万","31979"
"57","凯润金城 ","凯润金城","1室1厅","57.94平米","北","精装","有电梯","长江路","178万","30722"
"58","营苑西村 ","营苑西村","3室2厅","74.24平米","南北","其他","无电梯","迈皋桥","195万","26267"
"59","南京恒大绿洲 ","南京恒大绿洲","4室2厅","148.56平米","南北","精装","有电梯","九龙湖","420万","28272"
"60","富丽山庄 ","富丽山庄","3室2厅","105.98平米","南","其他","无电梯","月牙湖","308万","29063"
"61","天润城第十二街区 ","天润城第十二街区","2室2厅","73.87平米","南","简装","有电梯","桥北","179万","24232"
"62","天润城第十街区 ","天润城第十街区","2室2厅","80.92平米","南北","精装","无电梯","桥北","188万","23233"
"63","天地新城天心座 ","天地新城天心座","5室2厅","116.83平米","南北","精装","无电梯","岔路口","282万","24138"
"64","华保新寓 ","华保新寓","2室1厅","63.77平米","南","精装","有电梯","草场门大街","260万","40772"
"65","凤凰西街269至275号 ","凤凰西街269至275号","2室1厅","53.69平米","南北","精装","无电梯","凤凰西街","175万","32595"
"66","文化名园上筑园 ","文化名园上筑园","2室1厅","76.43平米","南北","其他","有电梯","百家湖","260万","34019"
"67","南方花园C组团 ","南方花园C组团","2室1厅","60.41平米","南","其他","无电梯","岔路口","198万","32777"
"68","莫愁新寓迎春里 ","莫愁新寓迎春里","2室1厅","56.74平米","南北","精装","无电梯","汉中门大街","199万","35073"
"69","爱涛漪水园雅然苑 ","爱涛漪水园雅然苑","联排别墅","4室2厅","192.91平米","南北","其他","百家湖","610万","31621"
"70","营苑西村 ","营苑西村","2室1厅","55.5平米","南北","简装","无电梯","迈皋桥","140万","25226"
"71","仁园 ","仁园","2室1厅","48.19平米","南北","简装","无电梯","茶南","140万","29052"
"72","天润城第十二街区 ","天润城第十二街区","3室2厅","90.97平米","南北","精装","有电梯","桥北","230万","25284"
"73","国信阅景龙华 ","国信阅景龙华","2室1厅","120.21平米","南北","精装","有电梯","江浦街道","255万","21213"
"74","黄埔鑫园 ","黄埔鑫园","2室1厅","67.23平米","南北","其他","有电梯","光华路","238万","35401"
"75","山阴路 ","山阴路","3室0厅","71.76平米","南北","简装","无电梯","宁海路","617万","85982"
"76","迎江园 ","迎江园","2室1厅","61.28平米","南北","简装","无电梯","定淮门大街","403万","65764"
"77","白鹭花园莺歌苑 ","白鹭花园莺歌苑","3室2厅","77.52平米","南北","简装","无电梯","万达广场","280万","36120"
"78","百水芊城丽水坊 ","百水芊城丽水坊","3室1厅","83平米","南北","精装","无电梯","马群","175万","21085"
"79","三条巷(秦淮) ","三条巷(秦淮)","2室1厅","59.1平米","南","其他","无电梯","五老村","218.5万","36972"
"80","瑞鑫兰庭 ","瑞鑫兰庭","2室1厅","55.62平米","东","精装","有电梯","大光路","236万","42431"
"81","枫丹白露白露新寓 ","枫丹白露白露新寓","4室2厅","158.37平米","南北","简装","有电梯","秦虹","599万","37823"
"82","武夷绿洲品茗苑 ","武夷绿洲品茗苑","3室2厅","97.28平米","南北","毛坯","无电梯","科学园","282万","28989"
"83","淮海新村 ","淮海新村","3室1厅","71.27平米","南","简装","无电梯","新街口","385万","54020"
"84","乔虹苑 ","乔虹苑","3室1厅","64.96平米","南北","简装","无电梯","秦虹","180万","27710"
"85","莫愁东寓 ","莫愁东寓","3室1厅","70.56平米","南北","简装","无电梯","水西门","229万","32455"
"86","南湾营文康苑 ","南湾营文康苑","2室1厅","65.13平米","南北","精装","无电梯","马群","157万","24106"
"87","幕府佳园 ","幕府佳园","3室1厅","87.23平米","南北","精装","无电梯","金陵小区","258万","29577"
"88","文化名园上筑园 ","文化名园上筑园","3室1厅","117.37平米","南北","其他","有电梯","百家湖","349万","29736"
"89","云谷山庄 ","云谷山庄","3室2厅","89.53平米","南北","毛坯","有电梯","五塘广场","269万","30046"
"90","幕府佳园 ","幕府佳园","3室1厅","86.31平米","南北","简装","无电梯","金陵小区","250万","28966"
"91","明月港湾星河湾 ","明月港湾星河湾","3室2厅","124.7平米","南北","精装","有电梯","岔路口","298万","23898"
"92","世茂滨江新城 ","世茂滨江新城","2室1厅","129.21平米","南","精装","有电梯","热河南路","465万","35988"
"93","钟山花园城博雅居 ","钟山花园城博雅居","3室2厅","102.82平米","南北","其他","无电梯","卫岗","440万","42794"
"94","头条巷 ","头条巷","3室1厅","70.62平米","南北","简装","无电梯","五老村","250万","35401"
"95","蓝岸3G ","蓝岸3G","1室0厅","34.23平米","东","其他","有电梯","铁心桥","58万","16945"
"96","长江之家 ","长江之家","4室2厅","160.33平米","南","精装","无电梯","龙江","770万","48026"
"97","银城宝船听涛 ","银城宝船听涛","4室2厅","189.3平米","南北","精装","有电梯","草场门大街","898万","47438"
"98","江岸水城 ","江岸水城","3室2厅","109.13平米","南北","简装","有电梯","桥北","210万","19244"
"99","嘉业阳光城天景苑一期 ","嘉业阳光城天景苑一期","3室2厅","137.11平米","南北","精装","有电梯","奥体","692万","50471"
"100","王府园小区 ","王府园小区","2室1厅","46.33平米","南","简装","无电梯","升州路","255万","55040"
"101","三金福邸 ","三金福邸","2室1厅","85.31平米","南北","精装","无电梯","月牙湖","298万","34932"
"102","保利罗兰香谷 ","保利罗兰香谷","3室2厅","86.55平米","南北","其他","有电梯","仙林","298万","34431"
"103","天成苑 ","天成苑","3室2厅","132.62平米","南北","其他","有电梯","应天西路","460万","34686"
"104","中粮彩云居 ","中粮彩云居","2室1厅","53.55平米","南","其他","有电梯","九龙湖","175万","32680"
"105","瑞金北村 ","瑞金北村","3室1厅","72.24平米","南北","简装","无电梯","瑞金路","305万","42221"
"106","大华锦绣华城桂美颂 ","大华锦绣华城桂美颂","2室2厅","99.35平米","南北","精装","有电梯","桥北","214万","21541"
"107","宝地园 ","宝地园","2室1厅","53.66平米","南北","简装","无电梯","龙江","226万","42118"
"108","中海万锦熙岸一期 ","中海万锦熙岸一期","3室2厅","93.73平米","南","毛坯","有电梯","江浦街道","218万","23259"
"109","江佑铂庭 ","江佑铂庭","3室2厅","115.29平米","南北","精装","有电梯","江浦街道","308万","26716"
"110","发园 ","发园","2室1厅","86.48平米","南北","精装","无电梯","南苑","300万","34691"
"111","黄埔鑫园 ","黄埔鑫园","3室2厅","108.84平米","南北","简装","无电梯","光华路","390万","35833"
"112","绿国万象都荟 ","绿国万象都荟","2室0厅","43.7平米","东北","其他","有电梯","洪家园","119万","27232"
"113","康博花园 ","康博花园","3室2厅","145.67平米","南北","精装","有电梯","九龙湖","405万","27803"
"114","宝地园 ","宝地园","2室1厅","72.9平米","南北","精装","无电梯","龙江","286万","39232"
"115","红山机电花园 ","红山机电花园","3室2厅","124.67平米","南北","精装","无电梯","红山","365万","29278"
"116","芳草园 ","芳草园","2室1厅","81.2平米","西南","精装","有电梯","龙江","535万","65887"
"117","三味公寓 ","三味公寓","2室1厅","60.74平米","东","精装","有电梯","仙林","185万","30458"
"118","瑞金新村 ","瑞金新村","3室1厅","67.87平米","南","精装","无电梯","瑞金路","262万","38604"
"119","明发滨江新城一期 ","明发滨江新城一期","2室2厅","108.6平米","南北","简装","有电梯","桥北","240万","22100"
"120","明发城市广场 ","明发城市广场","2室1厅","83.58平米","南","精装","有电梯","顶山街道","233万","27878"
"121","爱秦湾 ","爱秦湾","3室2厅","115.67平米","南北","精装","无电梯","东山镇","355万","30691"
"122","趣园 ","趣园","3室1厅","93.45平米","南北","其他","无电梯","南苑","265万","28358"
"123","阳光之旅 ","阳光之旅","2室2厅","71.71平米","西北","精装","无电梯","麒麟镇","148万","20639"
"124","天润城第十街区 ","天润城第十街区","3室1厅","124.4平米","南北","精装","有电梯","桥北","245万","19695"
"125","中海塞纳丽舍西苑 ","中海塞纳丽舍西苑","2室2厅","92.05平米","南北","简装","有电梯","奥体","560万","60837"
"126","良城美景家园 ","良城美景家园","3室2厅","103.99平米","南北","精装","无电梯","秦虹","378万","36350"
"127","黑龙江路 ","黑龙江路","1室1厅","48.18平米","南","简装","无电梯","许府巷","125万","25945"
"128","银达雅居 ","银达雅居","4室2厅","207.33平米","南","其他","有电梯","升州路","699万","33715"
"129","保利梧桐语花园 ","保利梧桐语花园","4室2厅","123.95平米","东","毛坯","有电梯","江宁大学城","280万","22590"
"130","淮海新村 ","淮海新村","1室1厅","41.27平米","东西","简装","无电梯","新街口","242万","58639"
"131","花雨南庭 ","花雨南庭","2室1厅","38.53平米","南","精装","有电梯","洪家园","180万","46717"
"132","新河一村 ","新河一村","2室1厅","56.55平米","南","简装","无电梯","定淮门大街","350万","61893"
"133","慧园街 ","慧园街","2室1厅","50.34平米","南北","简装","无电梯","升州路","278万","55225"
"134","武夷绿洲观竹苑 ","武夷绿洲观竹苑","3室2厅","104.88平米","南北","精装","有电梯","科学园","306万","29177"
"135","清江西苑 ","清江西苑","3室2厅","148.22平米","南西","精装","有电梯","定淮门大街","660万","44529"
"136","瀛洲湾 ","瀛洲湾","3室2厅","146.99平米","南北","精装","无电梯","岔路口","315万","21431"
"137","高云岭 ","高云岭","3室1厅","74.12平米","南北","简装","无电梯","湖南路","230万","31031"
"138","江雁依山郡 ","江雁依山郡","3室1厅","83.22平米","南北","精装","有电梯","金陵小区","295万","35449"
"139","瀛洲湾 ","瀛洲湾","2室2厅","96.87平米","南北","精装","有电梯","岔路口","226万","23331"
"140","清凉门小区 ","清凉门小区","2室1厅","44.38平米","南北","精装","无电梯","龙江","306万","68950"
"141","江南名府 ","江南名府","2室1厅","92.61平米","南北","精装","有电梯","应天西路","340万","36714"
"142","钟山晶典苑 ","钟山晶典苑","2室2厅","86平米","南","精装","有电梯","马群","270万","31396"
"143","二十八所(南) ","二十八所(南)","2室1厅","54.01平米","南北","其他","无电梯","月牙湖","195万","36105"
"144","蓝岸尚城 ","蓝岸尚城","2室1厅","50.2平米","东","精装","有电梯","铁心桥","169.8万","33825"
"145","后标营 ","后标营","2室1厅","60.15平米","南","精装","无电梯","瑞金路","200万","33251"
"146","21世纪国际公寓 ","21世纪国际公寓","2室1厅","68.31平米","西南西北","精装","有电梯","百家湖","215万","31475"
"147","和会街 ","和会街","2室1厅","60.83平米","南北","简装","无电梯","三牌楼","263万","43236"
"148","银通公寓 ","银通公寓","2室1厅","80.3平米","南北","简装","无电梯","瑞金路","280万","34870"
"149","东郊小镇第三街区 ","东郊小镇第三街区","3室2厅","91.65平米","南北","精装","无电梯","麒麟镇","180万","19640"
"150","城市绿洲花园 ","城市绿洲花园","3室2厅","110.58平米","南北","简装","无电梯","晓庄","295万","26678"
"151","明发滨江新城二期 ","明发滨江新城二期","3室2厅","115.95平米","南","简装","有电梯","桥北","285万","24580"
"152","天润城第十二街区 ","天润城第十二街区","2室2厅","74.11平米","东南","精装","有电梯","桥北","183.5万","24761"
"153","和燕路小区 ","和燕路小区","3室1厅","87.12平米","南北","简装","无电梯","晓庄","210万","24105"
"154","万科金色领域 ","万科金色领域","3室2厅","87.33平米","南西北","精装","有电梯","仙林","312万","35727"
"155","青岛路小区 ","青岛路小区","2室1厅","52.95平米","南","其他","无电梯","宁海路","240万","45326"
"156","天润城第六街区 ","天润城第六街区","2室2厅","89.81平米","南北","毛坯","无电梯","桥北","160万","17816"
"157","小市村 ","小市村","2室1厅","50.45平米","南北","其他","无电梯","小市","153万","30328"
"158","万达紫金明珠 ","万达紫金明珠","2室2厅","85.17平米","南北","简装","有电梯","月牙湖","242万","28414"
"159","雯锦雅苑 ","雯锦雅苑","3室2厅","116.18平米","南北","其他","有电梯","月苑","338万","29093"
"160","天润城第十街区 ","天润城第十街区","3室2厅","90.35平米","南北","精装","无电梯","桥北","220万","24350"
"161","凤凰街84号 ","凤凰街84号","2室1厅","59.57平米","南北","简装","无电梯","汉中门大街","279万","46836"
"162","天地新城天琴座 ","天地新城天琴座","3室2厅","123.98平米","南北","其他","无电梯","岔路口","278万","22423"
"163","万科金色领域 ","万科金色领域","3室1厅","113.77平米","南北","精装","有电梯","仙林","368万","32346"
"164","翠屏国际广场苑 ","翠屏国际广场苑","3室2厅","142.53平米","南北","简装","无电梯","将军大道","348万","24416"
"165","托乐嘉吉邻居 ","托乐嘉吉邻居","3室2厅","124.73平米","南北","其他","有电梯","将军大道","346万","27740"
"166","万裕龙庭水岸 ","万裕龙庭水岸","3室2厅","100.97平米","南北","其他","有电梯","江宁大学城","254万","25156"
"167","后标营50号 ","后标营50号","3室1厅","69.4平米","南北","精装","无电梯","瑞金路","180万","25937"
"168","明华清园 ","明华清园","3室2厅","147.29平米","南北","其他","有电梯","华侨路","690万","46847"
"169","颐家春天花园 ","颐家春天花园","3室2厅","102.45平米","南","简装","有电梯","禄口","103万","10054"
"170","碧水湾花园 ","碧水湾花园","3室2厅","108.7平米","南北","精装","无电梯","岔路口","240万","22080"
"171","冶山道院小区 ","冶山道院小区","2室1厅","55.67平米","南北","其他","无电梯","新街口","185万","33232"
"172","市政天元城 ","市政天元城","3室2厅","103.44平米","南北","精装","无电梯","东山镇","295万","28519"
"173","白云园北片 ","白云园北片","3室2厅","89.66平米","南北","简装","无电梯","龙江","403万","44948"
"174","保利梧桐语花园 ","保利梧桐语花园","3室2厅","90.82平米","南","精装","有电梯","江宁大学城","248万","27307"
"175","四卫头小区 ","四卫头小区","2室2厅","76.77平米","南北","简装","无电梯","湖南路","278万","36213"
"176","云谷山庄 ","云谷山庄","3室1厅","82.84平米","南北","毛坯","有电梯","五塘广场","255万","30783"
"177","天泰青城苑 ","天泰青城苑","1室1厅","46.62平米","西北","精装","有电梯","将军大道","132万","28315"
"178","中海国际社区一期 ","中海国际社区一期","3室1厅","98.01平米","南北","毛坯","有电梯","麒麟镇","255万","26018"
"179","龙凤花园腾龙里 ","龙凤花园腾龙里","4室2厅","121.57平米","南北","其他","无电梯","龙江","499万","41047"
"180","蓝岸3G ","蓝岸3G","1室0厅","32.14平米","西","其他","有电梯","铁心桥","51万","15869"
"181","龙凤花园隽凤园 ","龙凤花园隽凤园","3室2厅","155.2平米","南北","精装","有电梯","龙江","638万","41109"
"182","聚福园一期 ","聚福园一期","3室2厅","92.29平米","南北","精装","无电梯","龙江","615万","66638"
"183","鸿福苑 ","鸿福苑","3室1厅","118.17平米","南北","简装","无电梯","大光路","450万","38081"
"184","保利梧桐语花园 ","保利梧桐语花园","3室2厅","100.42平米","南北","其他","有电梯","江宁大学城","265万","26390"
"185","长阳花园 ","长阳花园","3室2厅","117.6平米","南北","精装","无电梯","龙江","699万","59439"
"186","金川雅苑 ","金川雅苑","3室1厅","74.39平米","南北","精装","无电梯","福建路","245万","32935"
"187","金盾公寓 ","金盾公寓","3室2厅","93.53平米","西南","精装","有电梯","新街口","432万","46189"
"188","天地花园 ","天地花园","2室1厅","61.35平米","南北","精装","无电梯","月牙湖","162万","26406"
"189","宁工新寓二村 ","宁工新寓二村","2室1厅","54.22平米","南","其他","无电梯","草场门大街","240万","44265"
"190","瑞金北村 ","瑞金北村","1室1厅","38.68平米","南北","其他","无电梯","瑞金路","188万","48604"
"191","南方花园枫彩园 ","南方花园枫彩园","2室1厅","90.02平米","南北","精装","有电梯","岔路口","250万","27772"
"192","建康新村 ","建康新村","2室1厅","50.68平米","南北","简装","无电梯","建康路","140万","27625"
"193","中海国际社区二期 ","中海国际社区二期","2室2厅","78.97平米","南","毛坯","有电梯","麒麟镇","188万","23807"
"194","云锦美地碧云居 ","云锦美地碧云居","2室2厅","92.9平米","南北","精装","无电梯","南湖","382万","41120"
"195","中电颐和家园尚玄 ","中电颐和家园尚玄","2室2厅","88.92平米","南北","简装","有电梯","红山","295万","33176"
"196","海德卫城 ","海德卫城","3室2厅","145.02平米","南北","简装","有电梯","草场门大街","575万","39650"
"197","清河新寓二村 ","清河新寓二村","1室1厅","45.55平米","南","精装","无电梯","凤凰西街","440万","96598"
"198","弓箭坊小区 ","弓箭坊小区","2室1厅","75.25平米","西南","精装","有电梯","来凤里","206万","27376"
"199","威尼斯水城第十三街区 ","威尼斯水城第十三街区","2室2厅","90.03平米","南北","毛坯","有电梯","桥北","185万","20549"
"200","四方新村三村 ","四方新村三村","2室1厅","74.71平米","南北","简装","有电梯","月牙湖","178万","23826"
"201","明月港湾彩云湾 ","明月港湾彩云湾","2室2厅","96.97平米","南北","其他","有电梯","岔路口","254万","26194"
"202","月光广场 ","月光广场","2室1厅","92.5平米","东南","简装","有电梯","龙江","274万","29622"
"203","建邺路住宅小区 ","建邺路住宅小区","2室1厅","59.09平米","南北","精装","有电梯","新街口","177万","29955"
"204","华侨公寓 ","华侨公寓","2室1厅","73.36平米","南","简装","有电梯","华侨路","249万","33943"
"205","汇景家园汇安苑 ","汇景家园汇安苑","2室1厅","68.35平米","南北","精装","无电梯","洪家园","209万","30578"
"206","天润城第十四街区 ","天润城第十四街区","2室2厅","69.57平米","南","简装","有电梯","桥北","169万","24293"
"207","五矿御江金城 ","五矿御江金城","2室2厅","87.78平米","南","简装","有电梯","奥体","423万","48189"
"208","文化名园上筑园 ","文化名园上筑园","3室2厅","110.61平米","南北","毛坯","有电梯","百家湖","345万","31191"
"209","东方红郡 ","东方红郡","2室2厅","85.4平米","南北","精装","有电梯","麒麟镇","220万","25762"
"210","富康新村 ","富康新村","2室1厅","59.59平米","南","简装","无电梯","月牙湖","175万","29368"
"211","御水湾花园 ","御水湾花园","2室2厅","89.67平米","南北","简装","有电梯","光华路","320万","35687"
"212","天泰青城苑 ","天泰青城苑","2室1厅","71.85平米","南北","其他","有电梯","将军大道","209万","29089"
"213","云谷山庄 ","云谷山庄","2室1厅","67.28平米","南","简装","有电梯","五塘广场","208万","30916"
"214","西一新村 ","西一新村","3室0厅","64.41平米","东","简装","有电梯","升州路","275万","42696"
"215","瑞金北村 ","瑞金北村","2室1厅","55.22平米","南","精装","有电梯","瑞金路","212万","38392"
"216","居易时代 ","居易时代","2室1厅","53.32平米","南","精装","有电梯","洪家园","176万","33009"
"217","沙塘园 ","沙塘园","2室1厅","62.46平米","东","精装","有电梯","珠江路","342万","54756"
"218","银城西堤国际一区 ","银城西堤国际一区","2室2厅","87.52平米","南","精装","有电梯","奥体","535万","61129"
"219","梅花山庄湖畔之星 ","梅花山庄湖畔之星","3室2厅","134.06平米","东南南","精装","有电梯","月牙湖","432万","32225"
"220","小火瓦巷 ","小火瓦巷","2室1厅","52.16平米","南北","其他","无电梯","新街口","292万","55982"
"221","亲水湾花园 ","亲水湾花园","2室2厅","96.67平米","南北","精装","有电梯","百家湖","283万","29275"
"222","二十八所（北） ","二十八所（北）","2室1厅","55.47平米","南","毛坯","无电梯","月牙湖","180万","32450"
"223","贡园 ","贡园","2室1厅","63.62平米","南北","简装","无电梯","南苑","176万","27665"
"224","御道街小区 ","御道街小区","1室1厅","34.73平米","南北","精装","无电梯","瑞金路","142万","40887"
"225","市政天元城 ","市政天元城","2室1厅","55.36平米","南","其他","有电梯","东山镇","155万","27999"
"226","小火瓦巷 ","小火瓦巷","3室1厅","73.04平米","南北","简装","无电梯","新街口","390万","53396"
"227","龙蟠花苑 ","龙蟠花苑","3室2厅","120.5平米","东南北","精装","无电梯","秦虹","426万","35353"
"228","万科光明城市西苑 ","万科光明城市西苑","3室2厅","107.89平米","南北","精装","有电梯","奥体","705万","65345"
"229","新河一村 ","新河一村","2室1厅","72.21平米","南","精装","无电梯","定淮门大街","439万","60795"
"230","北门桥小区 ","北门桥小区","2室1厅","71.52平米","南西南","精装","有电梯","长江路","258万","36074"
"231","文体村 ","文体村","2室1厅","56.7平米","南西","精装","无电梯","南湖","175万","30865"
"232","左邻右里 ","左邻右里","2室2厅","89.48平米","南","简装","有电梯","岔路口","280万","31292"
"233","黑龙江路12巷 ","黑龙江路12巷","2室1厅","44.77平米","南","精装","无电梯","许府巷","125万","27921"
"234","新城玖珑湖一期 ","新城玖珑湖一期","3室2厅","87.69平米","南","其他","有电梯","九龙湖","325万","37063"
"235","盈家春天 ","盈家春天","2室1厅","66.82平米","南","精装","有电梯","岔路口","139万","20803"
"236","融侨世家 ","融侨世家","3室2厅","90.07平米","南北","其他","有电梯","江宁大学城","249万","27646"
"237","银城蓝溪郡 ","银城蓝溪郡","3室2厅","86.33平米","南北","精装","有电梯","江宁其它","179万","20735"
"238","启迪方洲智园 ","启迪方洲智园","3室2厅","86.32平米","南北","其他","有电梯","麒麟镇","220万","25487"
"239","万科金色领域 ","万科金色领域","3室2厅","87.8平米","南西北","简装","有电梯","仙林","310万","35308"
"240","名城世家花园 ","名城世家花园","2室2厅","77.64平米","南北","简装","有电梯","小行","295万","37996"
"241","万科金色里程 ","万科金色里程","2室2厅","69.19平米","南北","精装","有电梯","铁心桥","235万","33965"
"242","武学园小区 ","武学园小区","1室1厅","50.49平米","西北","简装","有电梯","新街口","240万","47535"
"243","棉鞋营小区 ","棉鞋营小区","2室1厅","49.97平米","南北","其他","无电梯","常府街","190万","38023"
"244","云锦美地碧云居 ","云锦美地碧云居","3室1厅","100.83平米","南北","精装","有电梯","南湖","438万","43440"
"245","天润城第十四街区 ","天润城第十四街区","2室2厅","69.57平米","南","精装","有电梯","桥北","166.8万","23976"
"246","迎宾村 ","迎宾村","2室1厅","50.68平米","南北","精装","无电梯","南湖","150万","29598"
"247","东渡国际青年城 ","东渡国际青年城","2室2厅","85.44平米","南北","精装","有电梯","东山镇","247万","28910"
"248","江岸水城 ","江岸水城","2室2厅","101.05平米","南北","其他","有电梯","桥北","185万","18308"
"249","虹苑新寓三村 ","虹苑新寓三村","2室1厅","64.77平米","南北","精装","无电梯","应天西路","228万","35202"
"250","启迪方洲智园 ","启迪方洲智园","3室2厅","82.04平米","南北","精装","有电梯","麒麟镇","235万","28645"
